Entry_ID,Date Announced,DetectedDistrict,Detected State,State code =,Reported Cases,Recovered,Deaths
587123,05/05/2021,Angul,Odisha,OR,,,
587124,05/05/2021,Balasore,Odisha,OR,,,
587125,05/05/2021,Bargarh,Odisha,OR,,,
587126,05/05/2021,Bhadrak,Odisha,OR,,,
587127,05/05/2021,Balangir,Odisha,OR,,,
587128,05/05/2021,Boudh,Odisha,OR,,,
587129,05/05/2021,Cuttack,Odisha,OR,,,
587130,05/05/2021,Deogarh,Odisha,OR,,,
587131,05/05/2021,Dhenkanal,Odisha,OR,,,
587132,05/05/2021,Gajapati,Odisha,OR,,,
587133,05/05/2021,Ganjam,Odisha,OR,,,
587134,05/05/2021,Jagatsinghpur,Odisha,OR,,,
587135,05/05/2021,Jajpur,Odisha,OR,,,
587136,05/05/2021,Jharsuguda,Odisha,OR,,,
587137,05/05/2021,Kalahandi,Odisha,OR,,,
587138,05/05/2021,Kandhamal,Odisha,OR,,,
587139,05/05/2021,Kendrapara,Odisha,OR,,,
587140,05/05/2021,Kendujhar,Odisha,OR,,,
587141,05/05/2021,Khordha,Odisha,OR,,,
587142,05/05/2021,Koraput,Odisha,OR,,,
587143,05/05/2021,Malkangiri,Odisha,OR,,,
587144,05/05/2021,Mayurbhanj,Odisha,OR,,,
587145,05/05/2021,Nabarangapur,Odisha,OR,,,
587146,05/05/2021,Nayagarh,Odisha,OR,,,
587147,05/05/2021,Nuapada,Odisha,OR,,,
587148,05/05/2021,Puri,Odisha,OR,,,
587149,05/05/2021,Rayagada,Odisha,OR,,,
587150,05/05/2021,Sambalpur,Odisha,OR,,,
587151,05/05/2021,Subarnapur,Odisha,OR,,,
587152,05/05/2021,Sundargarh,Odisha,OR,,,
587153,05/05/2021,State Pool,Odisha,OR,,,
587154,05/05/2021,Gajapati,Odisha,OR,,,
587155,05/05/2021,Kalahandi,Odisha,OR,,,
587156,05/05/2021,Khordha,Odisha,OR,,,
587157,05/05/2021,Puri,Odisha,OR,,,
587158,05/05/2021,Rayagada,Odisha,OR,,,
587159,05/05/2021,Sambalpur,Odisha,OR,,,
587160,05/05/2021,Sundargarh,Odisha,OR,,,
587161,05/05/2021,Dhalai,Tripura,TR,,,
587162,05/05/2021,Gomati,Tripura,TR,,,
587163,05/05/2021,Khowai,Tripura,TR,,,
587164,05/05/2021,North Tripura,Tripura,TR,,,
587165,05/05/2021,Sipahijala,Tripura,TR,,,
587166,05/05/2021,South Tripura,Tripura,TR,,,
587167,05/05/2021,Unokoti,Tripura,TR,,,
587168,05/05/2021,West Tripura,Tripura,TR,,,
587169,05/05/2021,Dhalai,Tripura,TR,,,
587170,05/05/2021,Gomati,Tripura,TR,,,
587171,05/05/2021,North Tripura,Tripura,TR,,,
587172,05/05/2021,Sipahijala,Tripura,TR,,,
587173,05/05/2021,South Tripura,Tripura,TR,,,
587174,05/05/2021,Unokoti,Tripura,TR,,,
587175,05/05/2021,West Tripura,Tripura,TR,,,
587176,05/05/2021,Puducherry,Puducherry,PY,,,
587177,05/05/2021,Karaikal,Puducherry,PY,,,
587178,05/05/2021,Yanam,Puducherry,PY,,,
587179,05/05/2021,Mahe,Puducherry,PY,,,
587180,05/05/2021,Puducherry,Puducherry,PY,,,
587181,05/05/2021,Karaikal,Puducherry,PY,,,
587182,05/05/2021,Yanam,Puducherry,PY,,,
587183,05/05/2021,Mahe,Puducherry,PY,,,
587184,05/05/2021,Puducherry,Puducherry,PY,,,
587185,05/05/2021,Yanam,Puducherry,PY,,,
587186,05/05/2021,,Telangana,TG,,,
